signature,body,docstring,id
fun test(id: Id<String>),"{
    if (id.id != ""OK"") throw AssertionError()
}","// WITH_STDLIB
// WORKS_WHEN_VALUE_CLASS
// LANGUAGE: +ValueClasses, +GenericInlineClassParameter",c203
"fun test(a: A, b: B)","{
    b.(a.foo)()
    (a.foo)(b)
    a.foo(b)

    with(a) {
        b.foo()

        b.(foo)()

        (b.<!UNRESOLVED_REFERENCE_WRONG_RECEIVER!>foo<!>)<!NO_VALUE_FOR_PARAMETER!>()<!>

        foo(b)
        (foo)(b)
    }",// FILE: 1.kt,f913
fun box(),": String {
    try {
        ""a b c"".trimMargin("" "")
        return ""Fail trimMargin""
    }",// WITH_STDLIB,4f27
fun f(),{},// test.C,f6fb
fun contains(x: Char),: Boolean = t,"// FIR_IDENTICAL
// !LANGUAGE: +ProhibitConcurrentHashMapContains
// FULL_JDK",745c
fun loadMetadata(file: File),": List<KotlinJavascriptMetadata> {
        assert(file.exists()) { ""Library $file not found"" }","// Kotlin.$KOTLIN_JAVASCRIPT_METHOD_NAME(${metadataVersion.toInteger()}, \""$moduleName\"", "" +",f398
fun main(),"{
    val value: String? = """"
    if (value != null) {
        foo(Pair(""val"", <!DEBUG_INFO_SMARTCAST!>value<!>))
        foo(Pair(""val"", value<!UNNECESSARY_NOT_NULL_ASSERTION!>!!<!>))
        foo(Pair<String, String>(""val"", <!DEBUG_INFO_SMARTCAST!>value<!>))
    }",//KT-2851 Type inference failed passing in not-null after smart-cast value in Pair,d987
fun box(),": String {
    val map = java.util.LinkedHashMap<Int, Int>()
    map.put(3, 42)
    map.put(14, -42)

    // Even though the type parameters on `map` are not nullable, the `values` property is implemented in Java and therefore there is
    // @EnhancedNullability on its type argument (Int).
    val actualValues = mutableListOf<Int>()
    for (v in map.values) {
        actualValues += v
    }","// !LANGUAGE: +StrictJavaNullabilityAssertions
// TARGET_BACKEND: JVM
// WITH_STDLIB
// FULL_JDK",4f27
fun bar(),: String = b,"// TARGET_BACKEND: JVM
// WITH_STDLIB
// FILE: Baz.java",66c3
fun box(),": String {
    val local = ShortWrapper(2)
    if (global.x + local.x != 3) return ""FAIL""
    global.x = 5
    local.x = 6
    return if (global.x + local.x != 11) return ""FAIL"" else ""OK""
}","// WITH_STDLIB
// IGNORE_BACKEND: JS, JS_IR, JS_IR_ES6, WASM
// !API_VERSION: 1.9",4f27
fun test(),"{
    <!EXPECT_CLASS_AS_FUNCTION!>Foo<!>()
    Bar()
    Baz()
    FooBar()
}","// MODULE: m1-common
// FILE: common.kt",fe98
fun cond(),= t,"// JDK_RELEASE: 16
// CHECK_BYTECODE_TEXT
// 2 CHECKCAST java/lang/constant/Constable
// 1 LOCALVARIABLE constable Ljava/lang/constant/Constable;",3475
fun getCallableNames(),"fun processDirectOverriddenFunctionsWithBaseScope(
        functionSymbol: FirNamedFunctionSymbol,
        processor: (FirNamedFunctionSymbol, FirTypeScope) -> ProcessorAction
    ): ProcessorAction

    // ------------------------------------------------------------------------------------

    abstract fun processDirectOverriddenPropertiesWithBaseScope(
        propertySymbol: FirPropertySymbol,
        processor: (FirPropertySymbol, FirTypeScope) -> ProcessorAction
    ): ProcessorAction

    // ------------------------------------------------------------------------------------

    object Empty : FirTypeScope() {
        override fun processDirectOverriddenFunctionsWithBaseScope(
            functionSymbol: FirNamedFunctionSymbol,
            processor: (FirNamedFunctionSymbol, FirTypeScope) -> ProcessorAction
        ): ProcessorAction = ProcessorAction.NEXT

        override fun processDirectOverriddenPropertiesWithBaseScope(
            propertySymbol: FirPropertySymbol,
            processor: (FirPropertySymbol, FirTypeScope) -> ProcessorAction
        ): ProcessorAction = ProcessorAction.NEXT

        override : Set<Name> = emptySet()

        override fun getClassifierNames(): Set<Name> = emptySet()

        override fun toString(): String {
            return ""Empty scope""
        }","// interface C : B { override fun foo() }
    //
    // Here, for override C::foo from a scope of C, processor will receiver B::foo and scope for B
    // Then, for B::foo from scope for B one may receive override A::foo and scope for A
    //
    // Currently, this function and its property brother both have very weak guarantees
    // - It may return the same overridden symbols more than once in case of substitution or intersection
    //     (but with different base scope)",0483
fun box(),": String {
    if (A.FIRST.a == 1 && A.SECOND.a == 2) {
        return ""OK""
    }",// EXPECTED_REACHABLE_NODES: 1291,4f27
fun getData(),": String = ""","// ISSUE: KT-58575
// FILE: JavaBases.java",8d73
fun test(),"{
    val set = mutableSetOf(1, 2, 3)
    var optimized = """"
    for (i in 0..set.size - 1) optimized += set.elementAt(i)
}",// TARGET_BACKEND: JVM_IR,fe98
fun asInterface(i: MyInterface),: MyInterface = i,"// MODULE: InterfaceModule
// FILE: MyInterface.kt",8b9a
fun suspendHere(v: String),: Unit = s,"// WITH_STDLIB
// WITH_COROUTINES",0bc0
"fun test(foo: Int, bar: Int)","{
    object : A {
        override val foo: Int = foo + bar
    }",// FIR_IDENTICAL,4af9
fun foo(),{},// Check that unresolved super type doesn't interfere with unqualified super resolution.,519f
fun box(),": String {

    val a = A()
    val b = object : B {
    }",// EXPECTED_REACHABLE_NODES: 1293,4f27
fun doo(),: Int = 0,"// one.MyEnumClass
// !LANGUAGE: +EnumEntries",5012
fun add(item: T),"{
       contents.add(item)
    }","// WITH_STDLIB
// JVM_ABI_K1_K2_DIFF: KT-63864",0bf3
fun iterate(),"}

class Derived(t: List<Int>) : BaseGeneric<List<Int>>(t) {
    var test = 0

    override  {
        test = 0
        for (i in t.indices) {
            test = test * 10 + (i + 1)
        }",// WITH_STDLIB,f3ec
fun foo1(),{},// FILE: A.java,d289
fun deserialize(decoder: Decoder),: DummyBox<String> = T,// WITH_STDLIB,8000
fun test(),"{
        inlineFun {
            builder {
                inlineFun {
                    suspendFun()
                    suspendFun()
                }",// FILE: box.kt,fe98
"fun possibleToGenerateJumpTable(irWhen: IrWhen, subject: IrVariable)",": Boolean {
        for (irBranch in irWhen.branches) {
            val condition = irBranch.condition as? IrCall ?: continue
            if (condition.symbol != context.irBuiltIns.eqeqSymbol)
                return false

            val lhs = condition.getValueArgument(0)!!
            val rhs = condition.getValueArgument(1)!!
            val other = getOther(lhs, rhs, subject)
            if (other is IrCall) {
                return false
            }",// when-block with subject should have two children: temporary variable and when itself.,7d19
fun getTag(),: Tag<*> = t,"// KT-42036
// IGNORE_BACKEND: JS_IR

// KT-61141: getTag() throws kotlin.Exception instead of java.lang.Exception
// IGNORE_BACKEND: NATIVE",dab7
fun <T> test(a: Base<B>),where T: Base<A> = a,// FIR_IDENTICAL,9ce9
fun plusK(s: String),= s,"// TARGET_BACKEND: JVM
// JVM_TARGET: 1.8
// SAM_CONVERSIONS: INDY
// FULL_JDK

// CHECK_BYTECODE_TEXT
// JVM_IR_TEMPLATES
// 2 java/lang/invoke/LambdaMetafactory

// FILE: serializableTopLevelFunRefAsGenericInterface.kt",4574
fun getFoo(),": F
    <!NOTHING_TO_OVERRIDE!>override<!> fun getBar(): F
}

interface D1 : JA<String>, KB<String>
interface E1 : D1 {
    override : String
    override fun getBar(): String
}",// FILE: JA.java,5fb9
fun test(d: DataClass),"{
    val (x) = d
    val c = d.component1()
}","// !OPT_IN: kotlin.RequiresOptIn
// FILE: api.kt


// MODULE: A",b692
fun box(),": String {
    var state = 0
    val name = (state++)::toString.name
    if (name != ""toString"") return ""Fail 1: $name""

    val name2 = with(state++) {
        ::toString.name
        ::toString.name
        ::toString.name
    }",// SKIP_SOURCEMAP_REMAPPING,4f27
fun foo(),{},// !LANGUAGE: -ProhibitVisibilityOfNestedClassifiersFromSupertypesOfCompanion,519f
fun usage(),{},// FILE: Foo.kt,455a
fun bar(),{},// FIR_IDENTICAL,66c3
fun testCommon(base: Base),"{
    val x = when (base) { // must be Ok
        is A -> 1
        B -> 2
    }","// TARGET_BACKEND: JVM
// !LANGUAGE: +MultiPlatformProjects
// ISSUE: KT-44474

// MODULE: m1-common
// FILE: common.kt",d681
fun box(),": String {
    val clazz = Base::class.java
    if (!clazz.isSealed) return ""Error: Base is not sealed""
    return clazz.permittedSubclasses.joinToString("""") { it.simpleName ?: ""_No name provided_"" }","// WITH_REFLECT
// FILE: Base.java",4f27
fun box(),"{
    foo({
            val a = 1
        }",// FILE: test.kt,4f27
"fun box(a: Any, b: Any)",": Pair<I, I?> {
    return Pair(<!UNCHECKED_CAST_TO_EXTERNAL_INTERFACE!>a as I<!>, <!UNCHECKED_CAST_TO_EXTERNAL_INTERFACE!>b as? I<!>)
}","// FIR_IDENTICAL
// DIAGNOSTICS: +UNCHECKED_CAST_TO_EXTERNAL_INTERFACE",57bb
fun box(),": String {
    val value = 0

    val withoutSubject = when (value.toInlineLong) {
        0.toInlineLong -> true
        else -> false
    }","// WITH_STDLIB
// WORKS_WHEN_VALUE_CLASS
// LANGUAGE: +ValueClasses",4f27
fun box(),": String {
    val obj = FluentTest()
    assertEquals(obj.age(), 10)

    obj.primitiveBoolean()

    obj.boxedBoolean()

    obj.overrideAnnotation
    obj.getOverrideAnnotation()

    OverridenGetterTest().usage()
    return ""OK""
}",// FILE: FluentTest.java,4f27
fun explicitType(),: T? = n,// MEMBER_NAME_FILTER: resolveMe,12bc
fun box(),= F,// EXPECTED_REACHABLE_NODES: 1373,4f27
fun box(),": String {
    val rem = u % ub
    if (rem != uc) throw AssertionError(""$rem"")

    return ""OK""
}",// WITH_STDLIB,4f27
fun box(),":String {
    J(Email(""test""))
    return ""OK""
}","// TARGET_BACKEND: JVM_IR
// WITH_STDLIB

// FILE: J.java",4f27
fun foo(y: String),"{
    var x: String? = null
    y.let { x = it }",// KT-9051: Allow smart cast for captured variables if they are not modified,d1f3
fun box(),": String {
    val x : Base = Child(5)
    assertEquals(5, x.id)
    val y : Base2 = Child2(Child(5))
    assertEquals(""Child(id=5)"", y.prop.toString())

    return ""OK""
}",// WITH_STDLIB,4f27
fun box(),": String {
    val augAssignmentPure = AugmentedAssignmentPure()
    var v1 = ""FAIL""
    augAssignmentPure %= { v1 = ""OK"" }","// TARGET_BACKEND: JVM
// !LANGUAGE: -ProhibitOperatorMod
// IGNORE_BACKEND_K2: JVM_IR, JS_IR, JS_IR_ES6
// FIR status: don't support legacy feature
// MODULE: lib
// FILE: Java.java",4f27
fun test(),"{
    <!DEPRECATED_ACCESS_TO_ENUM_ENTRY_COMPANION_PROPERTY!>A.entries<!>
    A.Companion.entries

    with(A) {
        entries
        this.entries
        <!UNRESOLVED_REFERENCE!>values<!>() // to be sure that we don't resolve into synthetic 'values'
    }","// !LANGUAGE: -EnumEntries
// WITH_STDLIB",fe98
fun <T> foo(l: MutableList<T>),: MutableList<T> = l,"// FIR_IDENTICAL
// !CHECK_TYPE
// !DIAGNOSTICS: -UNUSED_VARIABLE",ca9d
fun baz(),"{
            <!INNER_CLASS_CONSTRUCTOR_NO_RECEIVER!>Inner<!>()
            <!INNER_CLASS_CONSTRUCTOR_NO_RECEIVER!>Inner<!>(1)
        }","// !DIAGNOSTICS: -UNUSED_PARAMETER
// SKIP_TXT
// FILE: Outer.kt",b22f
fun bar(),"{
    <!INNER_CLASS_CONSTRUCTOR_NO_RECEIVER!>Inner<!>()
    <!INNER_CLASS_CONSTRUCTOR_NO_RECEIVER!>Inner<!>(1)

    with(Outer()) {
        Inner()
        Inner(1)
    }",// FILE: imported.kt,66c3
fun inlineMe(),"{
    assert(false) { ""FROM INLINED"" }","// FULL_JDK
// WITH_STDLIB
// TARGET_BACKEND: JVM
// ASSERTIONS_MODE: jvm
// FILE: inline.kt",26b8
fun foo(),{},"// ISSUE: KT-66277
// FIR_IDENTICAL",519f
fun test(arg: B),"{
    foo(value)
    arg.ext()

    bar()
    foo(cValue)

    <!UNRESOLVED_REFERENCE!>fff<!>(<!UNRESOLVED_REFERENCE!>dValue<!>)

    constant.fff(constant.dValue)

    f.f()
}",// FILE:a.kt,a07f
fun foo(i: Int),= i,// FILE:b.kt,9471
fun f(),"{
    }",//FILE:c.kt,f6fb
fun equals(other: IC1),": Boolean {
        return abs(x - other.x) < 0.5
    }","// WITH_STDLIB
// LANGUAGE: +ValueClasses, +CustomEqualsInValueClasses
// TARGET_BACKEND: JVM_IR
// CHECK_BYTECODE_LISTING",e923
"fun foo(s: String, x: Int)",{},"// TARGET_BACKEND: JVM

// WITH_REFLECT",b1e2
fun foo(),= 4,// LOOK_UP_FOR_ELEMENT_OF_TYPE: KtScriptInitializer,519f
fun <T> materialize(),: T = n,// !DIAGNOSTICS: -UNUSED_VARIABLE -UNUSED_EXPRESSION -UNCHECKED_CAST -UNUSED_PARAMETER -UNUSED_ANONYMOUS_PARAMETER,6522
fun compareTo(other: A),: Int = o,// EXPECTED_REACHABLE_NODES: 1291,b816
fun someFun(),"{
        class LocalClass : <!SEALED_SUPERTYPE_IN_LOCAL_CLASS!>Base<!>() {}","// ISSUE: KT-13495
// !LANGUAGE: +AllowSealedInheritorsInDifferentFilesOfSamePackage

// FILE: a.kt",b5a1
fun add(t: T),{},"// FIR_IDENTICAL
// !LANGUAGE: +UnrestrictedBuilderInference
// !DIAGNOSTICS: -UNUSED_PARAMETER",1e8f
fun foo(),"= ""","// !DIAGNOSTICS: -UNUSED_VARIABLE
// FILE: A.java",519f
fun allParametersReified(subtype: KotlinType),= s,"// Assume we are casting an expression of type Collection<Foo> to List<Bar>
        // First, let's make List<T>, where T is a type variable",9471
"fun isRefinementUseless(
        possibleTypes: Collection<KotlinType>,
        targetType: KotlinType,
        shouldCheckForExactType: Boolean
    )",": Boolean {
        val intersectedType = TypeIntersector.intersectTypes(possibleTypes.map { it.upperIfFlexible() }","// It is a warning ""useless cast"" for `as` and a warning ""redundant is"" for `is`",3e72
"fun isExactTypeCast(candidateType: KotlinType, targetType: KotlinType)",": Boolean {
        return candidateType == targetType && candidateType.isExtensionFunctionType == targetType.isExtensionFunctionType
    }","// If expected type is parameterized, then cast has an effect on inference, therefore it isn't a useless cast
        // Otherwise, we are interested in situation like: `a: Any? = 1 as Int?`",4b9b
fun f1(),{},"// !LANGUAGE: +ProhibitAssigningSingleElementsToVarargsInNamedForm +AllowAssigningArrayElementsToVarargsInNamedFormForFunctions
// !DIAGNOSTICS: -UNUSED_PARAMETER",ed85
fun notExpired(),": Boolean

    fun doSomething()
}

fun foo(o: Any) {
    val order = o as? Order
    if (order?.expired ?: false) {
        order.doSomething()
    }",// !LANGUAGE: -BooleanElvisBoundSmartCasts,ac10
fun box(),: String = w,// WITH_STDLIB,4f27
fun sum(vararg args: Int),": Int {
    var result = 0
    for (arg in args)
        result += arg
    return result
}",// FIR_IDENTICAL,5e45
fun yield(arg: CT),{},// IGNORE_BACKEND: JVM,89cd
fun testUnckeckedAsFromAny(x: Any),"{
    <!UNCHECKED_CAST_TO_FORWARD_DECLARATION!>x as? cnames.structs.FwdStruct<!>
    <!UNCHECKED_CAST_TO_FORWARD_DECLARATION!>x as? objcnames.classes.FwdObjcClass<!>
    <!UNCHECKED_CAST_TO_FORWARD_DECLARATION!>x as? objcnames.protocols.FwdProtocol<!>
    if (1 > 0) { <!UNCHECKED_CAST_TO_FORWARD_DECLARATION!>x as cnames.structs.FwdStruct<!> }","// WITH_STDLIB

// FILE: stdlib.kt",67a1
fun result(),": String = ""","// TARGET_BACKEND: JVM
// WITH_STDLIB
// !INHERIT_MULTIFILE_PARTS
// FILE: result.kt",5880
fun baseFun(),"}

interface Derived : Base {
    fun derivedFun()
}",// FIR_DUMP,0bb3
fun f7(x: Any),"fun f1(s: () -> String)
expect inline fun f2(s: () -> String)
expect inline fun f3(noinline s: () -> String)

expect fun f4(s: () -> String)
expect inline fun f5(s: () -> String)
expect inline fun f6(crossinline s: () -> String)

expect 
expect fun f8(vararg x: Any)

// MODULE: m2-jvm()()(m1-common)
// FILE: jvm.kt

actual inline fun f1(noinline s: () -> String) {}","// !DIAGNOSTICS: -NOTHING_TO_INLINE
// MODULE: m1-common
// FILE: common.kt",fa7a
"fun <T> test0(x: Any, y: T)",= x,// FIR_IDENTICAL,9b8c
fun usage(),"{
    val a = dependency.Bar<MyClass>::foo
}",// FILE: main.kt,455a
fun foo(),{},// FILE: dependency.kt,519f
fun box(),: String = F,"// TARGET_BACKEND: JVM_IR

// FILE: dependency/Base.kt",4f27
fun lib(),: String = w,"// KT-66342: fail 1: `const val bar` has changed its value
// IGNORE_BACKEND_K1: JS_IR, JS_IR_ES6

// MODULE: lib
// FILE: A.kt
// VERSION: 1",f985
fun foo(),"= ""","// TARGET_BACKEND: JS_IR
// TARGET_BACKEND: WASM

// RUN_THIRD_PARTY_OPTIMIZER
// WASM_DCE_EXPECTED_OUTPUT_SIZE: wasm  14_571
// WASM_DCE_EXPECTED_OUTPUT_SIZE: mjs    5_277
// WASM_OPT_EXPECTED_OUTPUT_SIZE:        4_276",519f
fun is1(x: String),= x,"// TARGET_BACKEND: JVM
// JVM_TARGET: 1.8
// SAM_CONVERSIONS: INDY
// WITH_STDLIB
// FULL_JDK

// CHECK_BYTECODE_TEXT
// JVM_IR_TEMPLATES
// 2 java/lang/invoke/LambdaMetafactory

// FILE: boundRefToSuperClassMethod.kt",06a7
fun foo(),"{
    val f : (Any) -> Unit = <!INITIALIZER_TYPE_MISMATCH!>{ -> }",//KT-352 Function variable declaration type isn't checked inside a function body,519f
fun box(),": String {
    val g = when ("""".length) {
        0 -> G<A>()
        else -> G<B>()
    }","// CHECK_BYTECODE_TEXT
// 0 java/lang/invoke/LambdaMetafactory",4f27
fun main(w: ML<String>),"{
    val generic1 = Generic.create()
    val generic2 = Generic.create() ?: return

    // Not enough information to infer E (both K1 and K2 after KT-41794 is done)
    // Because generic information is erased from the raw type scope of `generic1`
    // But the parameter E is still there (that is a questionable behavior)
    generic1.foo(w)

    // `generic2` does have just non-raw type `Generic<Any!>..Generic<*>?`
    generic2.foo(w) // OK in K1, fails in K2 after KT-41794 is done
}","// SKIP_TXT
// FILE: Generic.java",8544
fun list(j: J),": Any {
    val a = j.n()!!

    a<!UNNECESSARY_SAFE_CALL!>?.<!>get(0)
    if (<!SENSELESS_COMPARISON!>a == null<!>) {}","// FIR_IDENTICAL
// FILE: J.java",2408
"fun use(a: A, b: B, c: C)","{
    a.<!DEPRECATION!>f<!>()
    b.f()
    c.<!DEPRECATION!>f<!>()

    A.<!DEPRECATION!>D<!>
    B.D
    C.<!DEPRECATION!>D<!>

    A.<!DEPRECATION!>bar<!>()
    B.bar()
    C.<!DEPRECATION!>bar<!>()
}","// FIR_IDENTICAL
// FILE: A.java",dd46
fun box(),= e,// FUNCTION: dbg,4f27
fun build(),= S,"// TARGET_BACKEND: JVM
// JVM_TARGET: 1.8
// SAM_CONVERSIONS: INDY

// FILE: privateCompanionObjectMember.kt",5bf9
fun test(),"{
    TestScope.<!ILLEGAL_RESTRICTED_SUSPENDING_FUNCTION_CALL!>testLambda<!>(10)
    testLambda(TestScope, 10)
    testLambda.invoke(TestScope, 10)
}","// FIR_IDENTICAL
// ISSUE: KT-65272
// WITH_STDLIB",fe98
fun test(collection: MutableCollection<Boolean>),"{
    collection.removeIf { it }",// FULL_JDK,6ca4
fun notAProperty(),{},"// TARGET_BACKEND: JVM

// WITH_REFLECT",404d
fun lold(),"= """,// EXPECTED_REACHABLE_NODES: 1286,276c
fun main(args: Array<String>),"{
    var a: Byte =  1
    var b: Int  =  2
    var c: Long = -3
    var d: Char = 'c'
    var e: Boolean = true
    return
}","// KIND: STANDALONE_LLDB
// FIR_IDENTICAL",5b61
fun foo(),"{
    // nullable variable
    val en2: Any? = En.A
    if (en2 is En) {
        when (<!DEBUG_INFO_SMARTCAST!>en2<!>) {
            En.A -> {}",// See KT-14705,519f
fun getFoo(),= f,"// TARGET_BACKEND: JVM_IR
// ISSUE: KT-59550

// FILE: Intermediate.java",5fb9
fun foo(),"{
    open class Local {
        val my: Int = 2
            get() = field
    }","// FIR_IDENTICAL
// DIAGNOSTICS: -UNUSED_VARIABLE",519f
fun lib(),": String {

    val a = qux
    val b = x.bar
    qux = ""new global value""
    x.bar = ""new member value""

    return when {
        a != ""initialized global"" -> ""fail 1""
        b != ""initialized member"" -> ""fail 2""
        qux != ""new global value"" -> ""fail 3""
        x.bar != ""new member value"" -> ""fail 4""

        else -> ""OK""
    }","// MODULE: lib
// FILE: A.kt
// VERSION: 1",f985
fun foo(s: String),{},// !DIAGNOSTICS: -UNUSED_PARAMETER,b751
"fun usage(a: Aliased, b: SamePackage)","{
    aliased()
    samePackage()
}",// FILE: main.kt,12c6
fun samePackage(),{},// FILE: dependency.kt,1663
"fun foo(x: String, y: String)",= x,// FILE: 1.kt,30a6
fun box(),": String {
    val result = processRecords { ""B"" + it }",// FILE: 2.kt,4f27
fun bar(),": Int {
    return object {
        fun baz(): Int {
            val strings = A.foo()
            strings.forEach {
                if (it.length == 0) return 1
            }","// SKIP_TXT
// FIR_IDENTICAL
// FULL_JDK
// !CHECK_TYPE
// !DIAGNOSTICS: -UNUSED_EXPRESSION -UNUSED_PARAMETER -UNUSED_VARIABLE

// FILE: A.java",66c3
fun <reified T> f(),": T =
    T","// TARGET_BACKEND: JVM
// JVM_TARGET: 1.8
// SAM_CONVERSIONS: INDY
// WITH_STDLIB
// FULL_JDK

// CHECK_BYTECODE_TEXT
// JVM_IR_TEMPLATES
// 1 java/lang/invoke/LambdaMetafactory

// FILE: specializedWithReifiedTypeParameter.kt",6ada
fun create(),= P,"// IGNORE_BACKEND: JS
// KJS_WITH_FULL_RUNTIME",9c2f
fun box(),": String {
    val generated = ConstructorExample(""foo"", true)
    assertEquals(generated.foo, ""foo"")
    return ""OK""
}",// FILE: ConstructorExample.java,4f27
fun hasNext(),: Boolean = i,"// WITH_STDLIB
// WORKS_WHEN_VALUE_CLASS
// LANGUAGE: +ValueClasses",2c39
fun t12(x: Int),": Int {
    var y = x
    val runnable = object : Runnable {
        override fun run () {
            y = y + 1
        }","// TARGET_BACKEND: JVM
// TARGET_BACKEND: JVM_IR
// WITH_STDLIB",c534
fun box(),": String {
    var captureMe = 0

    fun () {}","// LAMBDAS: INDY
// TARGET_BACKEND: JVM_IR
// JVM_TARGET: 1.8
// WITH_STDLIB

// CHECK_BYTECODE_TEXT
// JVM_IR_TEMPLATES
// 14 java/lang/invoke/LambdaMetafactory",4f27
"fun (a: Any, b: Any, c: Any, d: Any, e: Any, f: Any, g: Any, h: Any, i: Any, j: Any, k: Any, l: Any, m: Any, n: Any, o: Any,
         p: Any, q: Any, r: Any, s: Any, t: Any, u: Any, v: Any)","= """,// 1,d611
fun local1(),{},// 8,0f58
fun f(a: UInt),": Int {
    var n = 0
    for (i in a until M) {
        n++
    }","// WITH_STDLIB

// IMPORTANT!
// Please, when your changes cause failures in bytecodeText tests for 'for' loops,
// examine the resulting bytecode shape carefully.
// Range and progression-based loops generated with Kotlin compiler should be
// as close as possible to Java counter loops ('for (int i = a; i < b; ++i) { ... }').
// Otherwise it may result in performance regression due to missing HotSpot optimizations.
// Run Kotlin compiler benchmarks (https://github.com/Kotlin/kotlin-benchmarks)
// with compiler built from your changes if you are not sure.",5f7b
fun foo(),: B = t,// FILE: A.java,519f
fun compareTo(other : A),= (,// FIR_IDENTICAL,b7fd
fun init2(),"{

        }","// FIR_IDENTICAL
// JAVAC_EXPECTED_FILE
// KT-588 Unresolved static method",1293
fun test(z: Long),": String {
    val result = """" + z + z + z + z + z + z + z + z + z + z + z + z + z + z + z + z + z + z + z + z +
            z + z + z + z + z + z + z + z + z + z + z + z + z + z + z + z + z + z + z + z +
            z + z + z + z + z + z + z + z + z + z + z + z + z + z + z + z + z + z + z + z +
            z + z + z + z + z + z + z + z + z + z + z + z + z + z + z + z + z + z + z + z +
            z + z + z + z + z + z + z + z + z + z + z + z + z + z + z + z + z + z + z + z +
            z + z + z + z + z + z + z + z + z + z + z + z + z + z + z + z + z + z + z + z +
            z + z + z + z + z + z + z + z + z + z + z + z + z + z + z + z + z + z + z + z +
            z + z + z + z + z + z + z + z + z + z + z + z + z + z + z + z + z + z + z + z +
            z + z + z + z + z + z + z + z + z + z + z + z + z + z + z + z + z + z + z + z +
            z + z + z + z + z + z + z + z + z + z + z + z + z + z + z + z + z + z + z   //199 z

    return result
}",// STRING_CONCAT: indy,1ccd
fun test(),= r,"// WITH_STDLIB
// WORKS_WHEN_VALUE_CLASS
// LANGUAGE: +ValueClasses",fe98
fun f(),": String
}

open class B {
    open : CharSequence = ""charSequence""
}",// FIR_IDENTICAL,f6fb
fun f(),": Int

    val g: Int
}

@JsModule(""B"")
external open class B {
    fun foo(): Int

    class Nested
}","// FIR_IDENTICAL
// MODULE: m1
// FILE: a.kt",f6fb
fun box(),"fun o(x: String?): String?
expect fun k(x: String?): String?

 = o","// IGNORE_BACKEND: JVM, JVM_IR
// LANGUAGE: +MultiPlatformProjects

// MODULE: common
// FILE: common.kt",4f27
fun use1(),"{
    C.D.E.F()
}","// !OPT_IN: kotlin.RequiresOptIn
// FILE: api.kt",b28d
fun x(),"{
    val y = <expr>@Suppress("""")</expr> """"
}",// LOOK_UP_FOR_ELEMENT_OF_TYPE: org.jetbrains.kotlin.psi.KtAnnotationEntry,7869
fun mapDeserializedLambda(info: SerializableMethodRefInfo),"=
        D","//          }
        //          ...
        //      }
        //      throw IllegalArgumentException(""Invalid lambda deserialization"")
        //  }",c86d
fun foo(),{},// MEMBER_CLASS_FILTER: org.jetbrains.kotlin.fir.symbols.impl.FirConstructorSymbol,519f
fun f(),= A,"// TARGET_BACKEND: NATIVE
// FILECHECK_STAGE: CStubs",f6fb
fun box(),": String {
    val f = f()
    if (f != 12)
        return ""FAIL: $f != 12""
    g()
    return ""OK""
}","// CHECK: {{^}}epilogue:


// CHECK-LABEL: define %struct.ObjHeader* @""kfun:#box(){}kotlin.String""",4f27
fun foo(),"fun interface F1 {
    
}","// LANGUAGE: +MultiPlatformProjects
// ISSUE: KT-58845

// MODULE: common
// FILE: common.kt",519f
fun test(),"{
    // @NotNull platform type
    val platformNN = J.staticNN
    // @Nullable platform type
    val platformN = J.staticN
    // platform type with no annotation
    val platformJ = J.staticJ

    checkSubtype<J>(platformNN)
    checkSubtype<J>(<!ARGUMENT_TYPE_MISMATCH!>platformN<!>)
    checkSubtype<J>(platformJ)

    checkSubtype<J?>(platformNN)
    checkSubtype<J?>(platformN)
    checkSubtype<J?>(platformJ)
}","// !CHECK_TYPE

// FILE: J.java",fe98
fun foo(x: MyAnnoClass),"{
    bar(x)
}","// FIR_IDENTICAL
// FILE: MyAnnotation.java",97d2
fun get(index: Int),: Int = s,"// IGNORE_BACKEND: WASM
// WASM_MUTE_REASON: STDLIB_COLLECTION_INHERITANCE
// KJS_WITH_FULL_RUNTIME
// DONT_TARGET_EXACT_BACKEND: NATIVE",60cf
fun box(),": String {
    val list1 = ArrayList<Int>()
    val range1 = 9 downTo 3
    for (i in range1) {
        list1.add(i)
        if (list1.size > 23) break
    }","// Auto-generated by org.jetbrains.kotlin.generators.tests.GenerateRangesCodegenTestData. DO NOT EDIT!
// WITH_STDLIB",4f27
fun a(),= 1,"// FIR_IDENTICAL
// !DIAGNOSTICS: -UNUSED_PARAMETER",9ea5
fun b(),"{
            O_O
        }",// !LANGUAGE: +NestedClassesInEnumEntryShouldBeInner,4df1
fun box(),": String {
    val a : Any = A.X
    assertEquals(0, (a as Comparable<A>).compareTo(A.X))
    assertTrue((a as Comparable<A>).compareTo(A.Y) < 0)

    return ""OK""
}",// EXPECTED_REACHABLE_NODES: 1295,4f27
fun enableMultiplatform(flag: Boolean),"{
        enableMultiplatform = flag
    }",// DSL. Multiplatform projects.,ba73
fun run(),"{
        destinationDir.mkdirs()
        if (dumpParameters) {
            dumpProperties(this)
        }",// endregion,354f
fun inc(),: ST = S,"// Changed in K2, see KT-57178",6b8c
fun noParams(),: Unit = s,"// !DIAGNOSTICS: -UNUSED_PARAMETER
// !CHECK_TYPE
// SKIP_TXT",94fd
