signature,body,docstring,id
fun setUp(),"{
        super.setUp()

        val jdk11Home = File(System.getProperty(""jdk11Home""))
        Assume.assumeTrue(""This test requires JDK11 for AGP7"", jdk11Home.isDirectory)

        val producerBuildOptions: BuildOptions

        dependencyProject = Project(""new-mpp-android"", producerGradleVersion, minLogLevel = LogLevel.INFO).apply {
            chooseWrapperVersionOrFinishTest()
            producerBuildOptions = defaultBuildOptions().copy(
                javaHome = jdk11Home,
                androidHome = KtTestUtil.findAndroidSdk(),
                androidGradlePluginVersion = producerAgpVersion,
            )
            producerBuildOptions.androidHome?.let { acceptAndroidSdkLicenses(it) }",,3705
fun test(),"{
        runConsumerTest(dependencyProject, withKotlinVersion = null)
        runConsumerTest(dependencyProject, withKotlinVersion = defaultBuildOptions().kotlinVersion)

        // We don't want to test the behavior with old Kotlin project-to-project dependencies, only compatibility with publications:
        if (isPublishedLibrary) {
            runConsumerTest(dependencyProject, withKotlinVersion = oldKotlinVersion)
        }",,fe98
No signature found,"fun runConsumerTest(
        dependencyProject: Project,
        withKotlinVersion: String?
    ) {
        if (producerGradleVersion != consumerGradleVersion && !isPublishedLibrary) {
            println(""Testing project-to-project dependencies is only possible with one Gradle version on the consumer and producer sides"")
            return
        }",,6e1f
fun nameWithFlavorIfNeeded(name: String),= i,,0e99
No signature found,"fun assertResolvedSingleVariantsBatch(
        project: BaseGradleIT.Project,
        assertions: Map<ResolvedVariantRequest, String>,
        buildOptions: BaseGradleIT.BuildOptions = p",,6e1f
No signature found,"fun getResolvedVariantsBatch(
        project: BaseGradleIT.Project,
        requests: Iterable<ResolvedVariantRequest>,
        buildOptions: BaseGradleIT.BuildOptions = p",,6e1f
fun nextTaskId(),= t,,fa4b
"fun generateResolvedVariantTaskCodeGroovy(configuration: String, dependencyNotation: String)",": TaskWithName {
        val taskName = ""getResolvedVariants${nextTaskId()}",,003f
"fun generateResolvedVariantTaskCodeKts(configuration: String, dependencyNotation: String)",": TaskWithName {
        val taskName = ""getResolvedVariants${nextTaskId()}",,b928
fun main(),"{
    usleep(100u)
}",,d987
fun nativePlatformMainUsingCInterop(),= d,,c7d8
fun box(),": String {
    val map = java.util.LinkedHashMap<Int, Int>()
    map.put(3, 42)
    map.put(14, -42)

    // Even though the type parameters on `map` are not nullable, the `values` property is implemented in Java and therefore there is
    // @EnhancedNullability on its type argument (Int).
    val actualValues = mutableListOf<Int>()
    for (v in map.values) {
        actualValues += v
    }","// !LANGUAGE: +StrictJavaNullabilityAssertions
// TARGET_BACKEND: JVM
// WITH_STDLIB
// FULL_JDK",4f27
fun bar(),: String = b,"// TARGET_BACKEND: JVM
// WITH_STDLIB
// FILE: Baz.java",66c3
fun foox(),": String = """,,2f76
fun foo(),: String = f,,519f
fun barx(),": String = """,,e470
fun box(),: String = B,,4f27
fun box(),": String {
    val local = ShortWrapper(2)
    if (global.x + local.x != 3) return ""FAIL""
    global.x = 5
    local.x = 6
    return if (global.x + local.x != 11) return ""FAIL"" else ""OK""
}","// WITH_STDLIB
// IGNORE_BACKEND: JS, JS_IR, JS_IR_ES6, WASM
// !API_VERSION: 1.9",4f27
fun test(),"{
    <!EXPECT_CLASS_AS_FUNCTION!>Foo<!>()
    Bar()
    Baz()
    FooBar()
}","// MODULE: m1-common
// FILE: common.kt",fe98
fun x(),"{
    1 toCall a<caret>v
}",,7869
No signature found,fun Int.toCall(y: String): Char = ',,6e1f
fun getDestinationDirectory(kotlinTestReport: KotlinTestReport),": DirectoryProperty =
        o",,5dfe
"fun setDestinationDirectory(kotlinTestReport: KotlinTestReport, directory: Provider<Directory>)","{
        kotlinTestReport.destinationDir = directory.get().asFile
    }",,c8b7
"fun addTestResultsFrom(kotlinTestReport: KotlinTestReport, task: AbstractTestTask)","{
        kotlinTestReport.reportOn(task.binaryResultsDirectory)
    }",,3699
fun getInstance(objectFactory: ObjectFactory),": KotlinTestReportCompatibilityHelper =
            K",,0249
fun cond(),= t,"// JDK_RELEASE: 16
// CHECK_BYTECODE_TEXT
// 2 CHECKCAST java/lang/constant/Constable
// 1 LOCALVARIABLE constable Ljava/lang/constant/Constable;",3475
No signature found,"fun test(mh: MethodHandle?, mt: MethodType?) {
    val constable = if (cond()) mh else mt
}",,6e1f
fun box(),": String {
    test(null, null)
    return ""OK""
}",,4f27
fun foo(),"}
    // interface B : A { override  }",,519f
fun getCallableNames(),"fun processDirectOverriddenFunctionsWithBaseScope(
        functionSymbol: FirNamedFunctionSymbol,
        processor: (FirNamedFunctionSymbol, FirTypeScope) -> ProcessorAction
    ): ProcessorAction

    // ------------------------------------------------------------------------------------

    abstract fun processDirectOverriddenPropertiesWithBaseScope(
        propertySymbol: FirPropertySymbol,
        processor: (FirPropertySymbol, FirTypeScope) -> ProcessorAction
    ): ProcessorAction

    // ------------------------------------------------------------------------------------

    object Empty : FirTypeScope() {
        override fun processDirectOverriddenFunctionsWithBaseScope(
            functionSymbol: FirNamedFunctionSymbol,
            processor: (FirNamedFunctionSymbol, FirTypeScope) -> ProcessorAction
        ): ProcessorAction = ProcessorAction.NEXT

        override fun processDirectOverriddenPropertiesWithBaseScope(
            propertySymbol: FirPropertySymbol,
            processor: (FirPropertySymbol, FirTypeScope) -> ProcessorAction
        ): ProcessorAction = ProcessorAction.NEXT

        override : Set<Name> = emptySet()

        override fun getClassifierNames(): Set<Name> = emptySet()

        override fun toString(): String {
            return ""Empty scope""
        }","// interface C : B { override fun foo() }
    //
    // Here, for override C::foo from a scope of C, processor will receiver B::foo and scope for B
    // Then, for B::foo from scope for B one may receive override A::foo and scope for A
    //
    // Currently, this function and its property brother both have very weak guarantees
    // - It may return the same overridden symbols more than once in case of substitution or intersection
    //     (but with different base scope)",0483
No signature found,"fun FirTypeScope.processOverriddenFunctions(
    functionSymbol: FirNamedFunctionSymbol,
    processor: (FirNamedFunctionSymbol) -> ProcessorAction
): ProcessorAction =
    d",,6e1f
No signature found,"fun <reified S : FirCallableSymbol<*>> FirTypeScope.anyOverriddenOf(
    symbol: S,
    processOverridden: FirTypeScope.(S, (S) -> ProcessorAction) -> ProcessorAction,
    noinline predicate: (S) -> Boolean,
): Boolean {
    var result = false
    processOverridden(symbol) {
        if (predicate(it)) {
            result = true
            return@processOverridden ProcessorAction.STOP
        }",,6e1f
No signature found,"fun FirTypeScope.anyOverriddenOf(
    functionSymbol: FirNamedFunctionSymbol,
    predicate: (FirNamedFunctionSymbol) -> Boolean
): Boolean {
    return anyOverriddenOf(functionSymbol, FirTypeScope::processOverriddenFunctions, predicate)
}",,6e1f
No signature found,"fun FirTypeScope.processOverriddenFunctionsWithVisited(
    functionSymbol: FirNamedFunctionSymbol,
    visited: MutableSet<Pair<FirTypeScope, FirNamedFunctionSymbol>>,
    processor: (FirNamedFunctionSymbol) -> ProcessorAction
): ProcessorAction =
    d",,6e1f
No signature found,"fun FirTypeScope.processOverriddenProperties(
    propertySymbol: FirPropertySymbol,
    processor: (FirPropertySymbol) -> ProcessorAction
): ProcessorAction =
    d",,6e1f
No signature found,"fun FirTypeScope.processOverriddenPropertiesWithVisited(
    propertySymbol: FirPropertySymbol,
    visited: MutableSet<Pair<FirTypeScope, FirPropertySymbol>> = m",,6e1f
No signature found,"fun List<FirTypeScope>.processOverriddenFunctions(
    functionSymbol: FirNamedFunctionSymbol,
    processor: (FirNamedFunctionSymbol) -> ProcessorAction
) {
    val visited = mutableSetOf<Pair<FirTypeScope, FirNamedFunctionSymbol>>()
    for (scope in this) {
        if (!scope.processOverriddenFunctionsWithVisited(functionSymbol, visited, processor)) return
    }",,6e1f
No signature found,"fun List<FirTypeScope>.processOverriddenProperties(
    propertySymbol: FirPropertySymbol,
    processor: (FirPropertySymbol) -> ProcessorAction
) {
    val visited = mutableSetOf<Pair<FirTypeScope, FirPropertySymbol>>()
    for (scope in this) {
        if (!scope.processOverriddenPropertiesWithVisited(propertySymbol, visited, processor)) return
    }",,6e1f
No signature found,"fun <S : FirCallableSymbol<*>> FirTypeScope.doProcessAllOverriddenCallables(
    callableSymbol: S,
    processor: (S, FirTypeScope) -> ProcessorAction,
    processDirectOverriddenCallablesWithBaseScope: FirTypeScope.(S, (S, FirTypeScope) -> ProcessorAction) -> ProcessorAction,
    visited: MutableSet<Pair<FirTypeScope, S>>
): ProcessorAction {
    if (!visited.add(this to callableSymbol)) return ProcessorAction.NONE
    return processDirectOverriddenCallablesWithBaseScope(callableSymbol) { overridden, baseScope ->
        if (!processor(overridden, baseScope)) return@processDirectOverriddenCallablesWithBaseScope ProcessorAction.STOP

        baseScope.doProcessAllOverriddenCallables(overridden, processor, processDirectOverriddenCallablesWithBaseScope, visited)
    }",,6e1f
No signature found,"fun <S : FirCallableSymbol<*>> FirTypeScope.processAllOverriddenCallables(
    callableSymbol: S,
    processor: (S) -> ProcessorAction,
    processDirectOverriddenCallablesWithBaseScope: ProcessOverriddenWithBaseScope<S>,
): ProcessorAction =
    d",,6e1f
No signature found,"fun <S : FirCallableSymbol<*>> FirTypeScope.doProcessAllOverriddenCallables(
    callableSymbol: S,
    processor: (S) -> ProcessorAction,
    processDirectOverriddenCallablesWithBaseScope: FirTypeScope.(S, (S, FirTypeScope) -> ProcessorAction) -> ProcessorAction,
    visited: MutableSet<Pair<FirTypeScope, S>>
): ProcessorAction =
    d",,6e1f
No signature found,"fun FirTypeScope.processDirectlyOverriddenFunctions(
    functionSymbol: FirNamedFunctionSymbol,
    crossinline processor: (FirNamedFunctionSymbol) -> ProcessorAction
): ProcessorAction = p",,6e1f
No signature found,"fun FirTypeScope.processDirectlyOverriddenProperties(
    propertySymbol: FirPropertySymbol,
    crossinline processor: (FirPropertySymbol) -> ProcessorAction
): ProcessorAction = p",,6e1f
No signature found,"fun FirTypeScope.getDirectOverriddenMembers(
    member: FirCallableSymbol<*>,
    unwrapIntersectionAndSubstitutionOverride: Boolean = f",,6e1f
No signature found,"fun FirTypeScope.getDirectOverriddenMembersWithBaseScope(member: FirCallableSymbol<*>): List<MemberWithBaseScope<FirCallableSymbol<*>>> {
    return when (member) {
        is FirNamedFunctionSymbol -> getDirectOverriddenFunctionsWithBaseScope(member)
        is FirPropertySymbol -> getDirectOverriddenPropertiesWithBaseScope(member)
        else -> emptyList()
    }",,6e1f
No signature found,"fun FirTypeScope.getDirectOverriddenFunctionsWithBaseScope(
    function: FirNamedFunctionSymbol,
): List<MemberWithBaseScope<FirNamedFunctionSymbol>> {
    val overriddenFunctions = mutableSetOf<MemberWithBaseScope<FirNamedFunctionSymbol>>()

    processDirectOverriddenFunctionsWithBaseScope(function) { symbol, baseScope ->

        overriddenFunctions += MemberWithBaseScope(symbol, baseScope)
        ProcessorAction.NEXT
    }",,6e1f
No signature found,"fun FirTypeScope.getDirectOverriddenPropertiesWithBaseScope(
    property: FirPropertySymbol,
): List<MemberWithBaseScope<FirPropertySymbol>> {
    val overriddenProperties = mutableSetOf<MemberWithBaseScope<FirPropertySymbol>>()

    processDirectOverriddenPropertiesWithBaseScope(property) { symbol, baseScope ->
        overriddenProperties += MemberWithBaseScope(symbol, baseScope)
        ProcessorAction.NEXT
    }",,6e1f
No signature found,"fun FirTypeScope.getDirectOverriddenFunctions(
    function: FirNamedFunctionSymbol,
    unwrapIntersectionAndSubstitutionOverride: Boolean = f",,6e1f
No signature found,"fun FirTypeScope.getDirectOverriddenProperties(
    property: FirPropertySymbol,
    unwrapIntersectionAndSubstitutionOverride: Boolean = f",,6e1f
No signature found,"fun FirTypeScope.retrieveDirectOverriddenOf(memberSymbol: FirCallableSymbol<*>): List<FirCallableSymbol<*>> {
    return when (memberSymbol) {
        is FirNamedFunctionSymbol -> {
            processFunctionsByName(memberSymbol.name) {}",,6e1f
No signature found,"fun <reified D : FirCallableSymbol<*>> MutableSet<D>.addOverridden(
    symbol: D,
    unwrapIntersectionAndSubstitutionOverride: Boolean
) {
    if (unwrapIntersectionAndSubstitutionOverride) {
        if (symbol is FirIntersectionCallableSymbol) {
            @Suppress(""UNCHECKED_CAST"")
            addAll(symbol.intersections as Collection<D>)
        }",,6e1f
fun getName(),: String = f,,4692
fun component1(),= 1,,fd7c
fun component2(),= 2,,e66b
fun box(),": String {
    val (a, b) = A()

    val local = object {
        public fun run() : Int {
            return a
        }",,4f27
fun ok(),"= """,,23f4
fun test(),= x,,fe98
fun box(),= T,,4f27
fun box(),": String {
    if (A.FIRST.a == 1 && A.SECOND.a == 2) {
        return ""OK""
    }",// EXPECTED_REACHABLE_NODES: 1291,4f27
fun getData(),": String = ""","// ISSUE: KT-58575
// FILE: JavaBases.java",8d73
fun getData(),": String = """,,8d73
fun getData(),": String? = """,,8d73
fun getData(),": String = """,,8d73
fun setData(data: String),{},,10cc
fun getData(),": String = """,,8d73
No signature found,fun setData(data: String?) {},,6e1f
fun getData(),": String? = """,,8d73
No signature found,fun setData(data: String?) {},,6e1f
fun unresolvedReferences(),"{
    JavaImmutableChild1().getData()
    JavaImmutableChild2().getData()
    JavaImmutableChild4().getData()
    JavaMutableChild1().getData()
    JavaMutableChild1().setData("""")
    JavaMutableChild6().getData()
    JavaMutableChild6().setData("""")
    JavaMutableChild8().getData()
    JavaMutableChild8().setData("""")
}",,d726
fun test(),"{
    val set = mutableSetOf(1, 2, 3)
    var optimized = """"
    for (i in 0..set.size - 1) optimized += set.elementAt(i)
}",// TARGET_BACKEND: JVM_IR,fe98
"fun check(declaration: FirDeclaration, context: CheckerContext, reporter: DiagnosticReporter)","{
        if (!context.isTopLevel || declaration.symbol.isEffectivelyExternal(context.session)) {
            return
        }",,ee93
fun asInterface(i: MyInterface),: MyInterface = i,"// MODULE: InterfaceModule
// FILE: MyInterface.kt",8b9a
fun asInterface2(i: MyInterface2),: MyInterface2 = i,,909e
fun box(),": String {
    if (asInterface(MyFinalClass()).test != 1) return ""Fail MyOpenClass as Interface property""
    if (MyFinalClass().test != 1) return ""Fail MyOpenClass property""

    if (asInterface(MyFinalClass2()).test != 1) return ""Fail MyFinalClass2 as Interface property""
    if (asInterface2(MyFinalClass2()).test != 1) return ""Fail MyFinalClass2 as Interface2 property""
    if (MyFinalClass2().test != 1) return ""Fail MyFinalClass2 property""

    if (asInterface(MyFinalClass3()).test != 1) return ""Fail MyFinalClass3 as Interface property""
    if (MyFinalClass3().test != 1) return ""Fail MyFinalClass3 property""

    if (asInterface(MyFinalClassI()).test != 1) return ""Fail MyFinalClassI as Interface property""
    if (MyFinalClassI().test != 1) return ""Fail MyFinalClassI property""

    if (asInterface(MyFinalClassWithOverride()).test != 2) return ""Fail MyFinalClassWithOverride as Interface property""
    if (MyFinalClassWithOverride().test != 2) return ""Fail MyFinalClassWithOverride property""

    if (asInterface(MyFinalClassWithOverride2()).test != 2) return ""Fail MyFinalClassWithOverride2 as Interface property""
    if (asInterface2(MyFinalClassWithOverride2()).test != 2) return ""Fail MyFinalClassWithOverride2 as Interface2 property""
    if (MyFinalClassWithOverride2().test != 2) return ""Fail MyFinalClassWithOverride2 property""

    if (asInterface(MyFinalClassWithOverride3()).test != 3) return ""Fail MyFinalClassWithOverride3 as Interface property""
    if (asInterface2(MyFinalClassWithOverride3()).test != 3) return ""Fail MyFinalClassWithOverride3 as Interface2 property""
    if (MyFinalClassWithOverride3().test != 3) return ""Fail MyFinalClassWithOverride3 property""

    if (asInterface(MyFinalClassWithOverrideI()).test != 2) return ""Fail MyFinalClassWithOverrideI as Interface property""
    if (MyFinalClassWithOverrideI().test != 2) return ""Fail MyFinalClassWithOverrideI property""

    return ""OK""
}",,4f27
fun suspendHere(v: String),: Unit = s,"// WITH_STDLIB
// WITH_COROUTINES",0bc0
No signature found,"fun builder(c: suspend Controller.() -> Unit): String {
    val controller = Controller()
    c.startCoroutine(controller, handleResultContinuation {
        controller.ok = true
    }",,6e1f
fun box(),": String {

    return builder {
        suspendHere(""OK"")
    }",,4f27
No signature found,"fun test(f: KFunction<*>) {
    f.parameters
}","// TARGET_BACKEND: JVM

// WITH_REFLECT
// FILE: J.java",6e1f
fun box(),": String {
    test(J::simple)
    test(J::objectTypes)
    test(J::primitives)
    test(J::primitiveArrays)
    test(J::multiDimensionalArrays)
    test(J::wildcards)

    return ""OK""
}",,4f27
"fun test(foo: Int, bar: Int)","{
    object : A {
        override val foo: Int = foo + bar
    }",// FIR_IDENTICAL,4af9
"fun check(expression: FirVariableAssignment, context: CheckerContext, reporter: DiagnosticReporter)","{
        val lValue = expression.calleeReference
        if (lValue !is FirResolvedNamedReference) return
        if (expression.source?.kind is KtFakeSourceElementKind) return

        val rValue = expression.rValue as? FirFunctionCall ?: return
        if (rValue.source?.kind is KtFakeSourceElementKind) return

        if (rValue.explicitReceiver?.resolvedType?.isPrimitive != true) return
        val rValueResolvedSymbol = rValue.toResolvedCallableSymbol() ?: return
        if (rValueResolvedSymbol.dispatchReceiverClassTypeOrNull()?.isPrimitive != true) return

        var needToReport = false
        val assignmentSource = expression.source

        if (assignmentSource is KtPsiSourceElement) {
            val lValuePsi = lValue.psi as? KtNameReferenceExpression ?: return
            val rValuePsi = rValue.psi as? KtBinaryExpression ?: return

            if (rValuePsi.matcher(lValuePsi)) {
                needToReport = true
            }",,43e4
No signature found,"fun lightTreeMatcher(
        variable: LighterASTNode,
        expression: LighterASTNode,
        source: KtLightSourceElement,
        prevOperator: LighterASTNode? = n",,6e1f
No signature found,"fun KtBinaryExpression.matcher(variable: KtNameReferenceExpression): Boolean {
        if (!canBeAugmented()) return false
        if ((left as? KtNameReferenceExpression)?.getReferencedName() == variable.getReferencedName()) return true
        if ((right as? KtNameReferenceExpression)?.getReferencedName() == variable.getReferencedName() && isCommutative()) return true

        return if (isCommutative()) {
            val leftExpression = left as? KtBinaryExpression
            val rightExpression = right as? KtBinaryExpression

            val isLeftMatch = isHierarchicallyTrue(operationToken, leftExpression?.operationToken)
                    && leftExpression?.matcher(variable) == true
            if (isLeftMatch) return true
            val isRightMatch = isHierarchicallyTrue(operationToken, rightExpression?.operationToken)
                    && rightExpression?.matcher(variable) == true
            if (isRightMatch) return true

            false
        }",,6e1f
No signature found,fun KtBinaryExpression.isCommutative() = t,,6e1f
No signature found,fun KtBinaryExpression.canBeAugmented() = t,,6e1f
No signature found,"fun isHierarchicallyTrue(currentOperation: IElementType, nextOperation: IElementType?) = c",,6e1f
fun isCommutativeOperator(operator: LighterASTNode),= o,,8b86
No signature found,"fun isLightNodesHierarchicallyTrue(first: LighterASTNode?, second: LighterASTNode?) =
        f",,6e1f
No signature found,fun LighterASTNode.canBeAugmented() = t,,6e1f
fun foo(),{},// Check that unresolved super type doesn't interfere with unqualified super resolution.,519f
fun ambiguous(),{},,58ad
fun bar(),{},,66c3
fun ambiguous(),{},,58ad
fun foo(),{},,519f
fun bar(),{},,66c3
fun ambiguous(),{},,58ad
fun callsFunFromSuperClass(),"{
        super.foo()
    }",,5f15
fun getSuperProp(),": Int =
            s",,669a
fun getAmbiguousSuperProp(),": Int =
    <",,c51c
fun callsFunFromSuperInterface(),"{
        super.bar()
    }",,8f7e
fun callsAmbiguousSuperFun(),"{
        <!AMBIGUOUS_SUPER!>super<!>.ambiguous()
    }",,2963
fun baz(),= f,,b22f
fun box(),": String {

    val a = A()
    val b = object : B {
    }",// EXPECTED_REACHABLE_NODES: 1293,4f27
"fun test(s1: SealedClass, s2: SealedClass)","{
        <expr>s1 == s2</expr>
    }",,5979
No signature found,"fun <T : JsNode?> accept(node: T) {
        node?.accept(this)
    }","// Copyright (c) 2011, the Dart project authors.  Please see the AUTHORS file
// for details. All rights reserved. Use of this source code is governed by a
// BSD-style license that can be found in the LICENSE file.",6e1f
No signature found,"fun <T : JsNode> acceptList(collection: List<T>) {
        for (node in collection) {
            accept(node)
        }",,6e1f
fun acceptLvalue(expression: JsExpression),"{
        accept(expression)
    }",,d7e0
No signature found,"fun <T : JsNode> acceptWithInsertRemove(collection: List<T>) {
        for (node in collection) {
            accept(node)
        }",,6e1f
fun visitArrayAccess(x: JsArrayAccess),": Unit =
            v",,e92b
fun visitArray(x: JsArrayLiteral),": Unit =
            v",,204d
fun visitBinaryExpression(x: JsBinaryOperation),": Unit =
            v",,c5ea
fun visitBlock(x: JsBlock),": Unit =
            v",,8ea9
fun visitBoolean(x: JsBooleanLiteral),": Unit =
            v",,8eb6
fun visitBreak(x: JsBreak),": Unit =
            v",,c5e4
fun visitCase(x: JsCase),": Unit =
            v",,c717
fun visitCatch(x: JsCatch),": Unit =
            v",,67fe
fun visitClass(x: JsClass),": Unit =
            v",,4f8a
fun visitConditional(x: JsConditional),": Unit =
            v",,e33a
fun visitContinue(x: JsContinue),": Unit =
            v",,7748
fun visitYield(x: JsYield),": Unit =
        v",,383c
fun visitDebugger(x: JsDebugger),": Unit =
            v",,ce6d
fun visitDefault(x: JsDefault),": Unit =
            v",,538b
fun visitDoWhile(x: JsDoWhile),": Unit =
            v",,2a67
fun visitEmpty(x: JsEmpty),": Unit =
            v",,3352
fun visitExpressionStatement(x: JsExpressionStatement),": Unit =
            v",,76db
fun visitFor(x: JsFor),": Unit =
            v",,9d99
fun visitForIn(x: JsForIn),": Unit =
            v",,5cbe
fun visitFunction(x: JsFunction),": Unit =
            v",,03d0
fun visitIf(x: JsIf),": Unit =
            v",,dc5f
fun visitInvocation(invocation: JsInvocation),": Unit =
            v",,371b
fun visitLabel(x: JsLabel),": Unit =
            v",,135e
fun visitLoop(x: JsLoop),": Unit =
        v",,9042
fun visitNameRef(nameRef: JsNameRef),": Unit =
            v",,662b
fun visitNew(x: JsNew),": Unit =
            v",,3678
fun visitNull(x: JsNullLiteral),": Unit =
            v",,a519
fun visitInt(x: JsIntLiteral),": Unit =
            v",,18e9
fun visitDouble(x: JsDoubleLiteral),": Unit =
            v",,7b2f
fun visitObjectLiteral(x: JsObjectLiteral),": Unit =
            v",,1165
fun visitParameter(x: JsParameter),": Unit =
            v",,31f9
fun visitPostfixOperation(x: JsPostfixOperation),": Unit =
            v",,506f
fun visitPrefixOperation(x: JsPrefixOperation),": Unit =
            v",,74de
fun visitProgram(x: JsProgram),": Unit =
            v",,2aca
fun visitPropertyInitializer(x: JsPropertyInitializer),": Unit =
            v",,fa3a
fun visitRegExp(x: JsRegExp),": Unit =
            v",,45bc
fun visitReturn(x: JsReturn),": Unit =
            v",,864a
fun visitString(x: JsStringLiteral),": Unit =
            v",,6e72
fun visit(x: JsSwitch),": Unit =
            v",,0a4c
fun visitThis(x: JsThisRef),": Unit =
            v",,f7bd
fun visitSuper(x: JsSuperRef),": Unit =
            v",,3bab
fun visitThrow(x: JsThrow),": Unit =
            v",,dee3
fun visitTry(x: JsTry),": Unit =
            v",,fbc0
fun visit(x: JsVar),": Unit =
            v",,5e91
fun visitVars(x: JsVars),": Unit =
            v",,214f
fun visitWhile(x: JsWhile),": Unit =
            v",,2878
fun visitDocComment(comment: JsDocComment),": Unit =
            v",,5e5f
fun visitSingleLineComment(comment: JsSingleLineComment),": Unit =
            v",,9945
fun visitMultiLineComment(comment: JsMultiLineComment),": Unit =
            v",,051f
fun visitExport(export: JsExport),": Unit =
            v",,28fa
fun visitImport(import: JsImport),": Unit =
        v",,cc3c
fun visitElement(node: JsNode),"{
    }",,5f4e
fun doo(),: Int = 0,"// one.MyEnumClass
// !LANGUAGE: +EnumEntries",5012
fun getSerializerGetterFunction(serializableIrClass: IrClass),": IrSimpleFunction? {
            val irClass =
                if (serializableIrClass.isSerializableObject) serializableIrClass else serializableIrClass.companionObject() ?: return null
            return irClass.findDeclaration<IrSimpleFunction> {
                it.name == SerialEntityNames.SERIALIZER_PROVIDER_NAME
                        && it.valueParameters.size == serializableIrClass.typeParameters.size
                        && it.valueParameters.all { p -> p.type.isKSerializer() }",,2d3b
"fun generate(
            irClass: IrClass,
            context: SerializationPluginContext,
        )","{
            val companionDescriptor = irClass
            val serializableClass = getSerializableClassByCompanion(companionDescriptor) ?: return
            if (serializableClass.shouldHaveGeneratedMethodsInCompanion) {
                SerializableCompanionIrGenerator(irClass, getSerializableClassByCompanion(irClass)!!, context).generate()
                irClass.addDefaultConstructorBodyIfAbsent(context)
                irClass.patchDeclarationParents(irClass.parent)
            }",,4791
fun generate(),"{
        val serializerGetterFunction =
            getSerializerGetterFunction(serializableIrClass)?.takeIf { it.isFromPlugin(compilerContext.afterK2) }",,3be5
fun patchNamedCompanionWithMarkerAnnotation(),"{
        if (serializableIrClass.kind == ClassKind.OBJECT || irClass.name == SpecialNames.DEFAULT_NAME_FOR_COMPANION_OBJECT) {
            return
        }",,bfe5
No signature found,"fun IrBuilderWithScope.patchSerializableClassWithMarkerAnnotation(serializer: IrClass) {
        if (serializer.kind != ClassKind.OBJECT) {
            return
        }",,6e1f
fun generateLazySerializerGetter(methodDescriptor: IrSimpleFunction),"{
        val serializer = requireNotNull(
            findTypeSerializer(
                compilerContext,
                serializableIrClass.defaultType
            )
        )

        val kSerializerIrClass =
            compilerContext.referenceClass(ClassId(SerializationPackages.packageFqName, SerialEntityNames.KSERIALIZER_NAME))!!.owner
        val targetIrType =
            kSerializerIrClass.defaultType.substitute(mapOf(kSerializerIrClass.typeParameters[0].symbol to compilerContext.irBuiltIns.anyType))

        val property = addLazyValProperty(irClass, targetIrType, SerialEntityNames.CACHED_SERIALIZER_PROPERTY_NAME) {
            val expr = requireNotNull(
                serializerInstance(serializer, compilerContext, serializableIrClass.defaultType)
            )
            patchSerializableClassWithMarkerAnnotation(kSerializerIrClass)
            +expr
        }",,acaf
fun generateSerializerGetter(methodDescriptor: IrSimpleFunction),"{
        addFunctionBody(methodDescriptor) { getter ->
            val serializer = requireNotNull(
                findTypeSerializer(
                    compilerContext,
                    serializableIrClass.defaultType
                )
            )
            val args: List<IrExpression> = getter.valueParameters.map { irGet(it) }",,e5cf
fun getOrCreateSerializerVarargFactory(),": IrSimpleFunction {
        irClass.findDeclaration<IrSimpleFunction> {
            it.name == SerialEntityNames.SERIALIZER_PROVIDER_NAME
                    && it.valueParameters.size == 1
                    && it.valueParameters.first().isVararg
                    && it.returnType.isKSerializer()
                    && it.isFromPlugin(compilerContext.afterK2)
        }",,58d8
fun generateSerializerFactoryIfNeeded(getterDescriptor: IrSimpleFunction),"{
        if (!irClass.needSerializerFactory(compilerContext)) return
        val serialFactoryDescriptor = getOrCreateSerializerVarargFactory()
        addFunctionBody(serialFactoryDescriptor) { factory ->
            val kSerializerStarType = factory.returnType
            val array = factory.valueParameters.first()
            val argsSize = serializableIrClass.typeParameters.size
            val arrayGet = compilerContext.irBuiltIns.arrayClass.owner.declarations.filterIsInstance<IrSimpleFunction>()
                .single { it.name.asString() == ""get"" }",,70f2
fun add(item: T),"{
       contents.add(item)
    }","// WITH_STDLIB
// JVM_ABI_K1_K2_DIFF: KT-63864",0bf3
fun unaryMinus(),": ArrayWrapper<T> {
        val result = ArrayWrapper<T>()
        result.contents.addAll(contents)
        result.contents.reverse()
        return result
    }",,4141
fun get(index: Int),": T {
        return contents.get(index)!!
    }",,60cf
fun box(),": String {
    val v1 = ArrayWrapper<String>()
    v1.add(""foo"")
    v1.add(""bar"")
    val v2 = -v1
    return if (v2[0] == ""bar"" && v2[1] == ""foo"") ""OK"" else ""fail""
}",,4f27
fun iterate(),"}

class Derived(t: List<Int>) : BaseGeneric<List<Int>>(t) {
    var test = 0

    override  {
        test = 0
        for (i in t.indices) {
            test = test * 10 + (i + 1)
        }",// WITH_STDLIB,f3ec
fun box(),": String {
    val t = Derived(listOf(1, 2, 3, 4))
    t.iterate()
    return if (t.test == 1234) ""OK"" else ""Fail: ${t.test}",,4f27
fun foo1(),{},// FILE: A.java,d289
fun deserialize(decoder: Decoder),: DummyBox<String> = T,// WITH_STDLIB,8000
"fun serialize(encoder: Encoder, value:DummyBox<String>)",: Unit = T,,e4e8
fun deserialize(decoder: Decoder),: Dummy = T,,8000
